Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
qwen:0.5b-chat-v1.5-q5_0,453MB,32K,Text,60ea3fa139a6,2 years ago,qwen\qwen.csv,0.4423828125,False
qwen:0.5b-text-v1.5-q5_K_M,459MB,32K,Text,dcedf0beaf7e,2 years ago,qwen\qwen.csv,0.4482421875,False
qwen:0.5b-chat-v1.5-q5_K_M,459MB,32K,Text,743996dfe09d,2 years ago,qwen\qwen.csv,0.4482421875,False
qwen:0.5b-chat-v1.5-q5_1,482MB,32K,Text,a60a006869f5,2 years ago,qwen\qwen.csv,0.470703125,False
qwen:0.5b-text-v1.5-q5_1,482MB,32K,Text,9f7ae5e6520b,2 years ago,qwen\qwen.csv,0.470703125,False
qwen2.5:0.5b-instruct-q6_K,506MB,32K,Text,ac75f8387539,1 year ago,qwen\qwen2.5.csv,0.494140625,False
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,5965f707577c,1 year ago,granite\granite3-moe.csv,0.5,False
granite3.1-moe:1b-instruct-q2_K,512MB,128K,Text,6c48d7af9884,1 year ago,ibm\granite3.1-moe.csv,0.5,False
granite3.1-moe:1b-base-q2_K,512MB,128K,Text,4f5ae9bf84b7,1 year ago,ibm\granite3.1-moe.csv,0.5,False
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,a81a27cb71de,1 year ago,ibm\granite3-moe.csv,0.5,False
qwen:0.5b-chat-v1.5-q6_K,515MB,32K,Text,0d79ae8737db,2 years ago,qwen\qwen.csv,0.5029296875,False
qwen:0.5b-text-v1.5-q6_K,515MB,32K,Text,c8c2e4f579df,2 years ago,qwen\qwen.csv,0.5029296875,False
granite-docling:258m-bf16,522MB,8K,"Text, Image",c4bb6f55fc69,10 months ago,ibm\granite-docling.csv,0.509765625,False
granite-docling:latest,522MB,8K,"Text, Image",c807e8d2c7e5,10 months ago,ibm\granite-docling.csv,0.509765625,False
granite-docling:258m,522MB,8K,"Text, Image",c4bb6f55fc69,10 months ago,ibm\granite-docling.csv,0.509765625,False
qwen3:0.6b-q4_K_M,523MB,40K,Text,7df6b6e09427,1 year ago,qwen\qwen3.csv,0.5107421875,False
granite3.1-moe:1b-instruct-q2_K,524MB,128K,Text,6521a8fa2f7d,1 year ago,granite\granite3.1-moe.csv,0.51171875,False
granite3-moe:1b-base-q2_K,529MB,4K,Text,3bde6fd68cd9,1 year ago,ibm\granite3-moe.csv,0.5166015625,False
qwen2.5:0.5b-instruct-q8_0,531MB,32K,Text,84d044692a2c,1 year ago,qwen\qwen2.5.csv,0.5185546875,False
qwen2.5:0.5b-base-q8_0,531MB,32K,Text,db0459695543,1 year ago,qwen\qwen2.5.csv,0.5185546875,False
gemma3:270m-it-bf16,543MB,32K,Text,dc598b095ea6,1 year ago,gemma\gemma3.csv,0.5302734375,False
gemma3:270m-it-fp16,543MB,32K,Text,a44af03dd6b3,1 year ago,gemma\gemma3.csv,0.5302734375,False
functiongemma:270m-it-fp16,552MB,32K,Text,ce6e8a1097cd,8 months ago,gemma\functiongemma.csv,0.5390625,False
granite-embedding:278m,563MB,512,Text,5125e69d1c0f,1 year ago,ibm\granite-embedding.csv,0.5498046875,False
granite-embedding:278m,563MB,512,Text,1a37926bf842,1 year ago,granite\granite-embedding.csv,0.5498046875,False
granite-embedding:278m-multilingual-f16,563MB,512,Text,5125e69d1c0f,1 year ago,ibm\granite-embedding.csv,0.5498046875,False
granite-embedding:278m-fp16,563MB,512,Text,1a37926bf842,1 year ago,granite\granite-embedding.csv,0.5498046875,False
llama3.2:1b-text-q2_K,581MB,128K,Text,1e2a8fc966e5,1 year ago,llama\llama3.2.csv,0.5673828125,False
llama3.2:1b-instruct-q2_K,581MB,128K,Text,3718017cfd4e,1 year ago,llama\llama3.2.csv,0.5673828125,False
granite4:1b-h-base-q2_K,589MB,1M,Text,85298a97e1a8,10 months ago,ibm\granite4.csv,0.5751953125,False
granite4:1b-h-q2_K,589MB,1M,Text,10881bb567b9,10 months ago,ibm\granite4.csv,0.5751953125,False
granite3.1-moe:1b-instruct-q3_K_S,598MB,128K,Text,74178e358028,1 year ago,ibm\granite3.1-moe.csv,0.583984375,False
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,cab9e1d32d19,1 year ago,granite\granite3-moe.csv,0.583984375,False
granite3.1-moe:1b-base-q3_K_S,598MB,128K,Text,008c5eeae403,1 year ago,ibm\granite3.1-moe.csv,0.583984375,False
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,a8a44fdf4a25,1 year ago,ibm\granite3-moe.csv,0.583984375,False
granite3.1-moe:1b-instruct-q3_K_S,610MB,128K,Text,c81277fe1196,1 year ago,granite\granite3.1-moe.csv,0.595703125,False
granite3-moe:1b-base-q3_K_S,619MB,4K,Text,cd0c15ff751e,1 year ago,ibm\granite3-moe.csv,0.6044921875,False
embeddinggemma:latest,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875,False
embeddinggemma:300m-bf16,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875,False
embeddinggemma:300m,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875,False
deepseek-coder:1.3b-base-q2_K,632MB,16K,Text,b4f8c7285df8,2 years ago,deepseek\deepseek-coder.csv,0.6171875,False
deepseek-coder:1.3b-instruct-q2_K,632MB,16K,Text,1ad28239dd09,2 years ago,deepseek\deepseek-coder.csv,0.6171875,False
qwen3-embedding:0.6b-q8_0,639MB,32K,Text,ac6da0dfba84,11 months ago,qwen\qwen3-embedding.csv,0.6240234375,False
qwen3-embedding:0.6b,639MB,32K,Text,ac6da0dfba84,11 months ago,qwen\qwen3-embedding.csv,0.6240234375,False
llama3.2:1b-instruct-q3_K_S,642MB,128K,Text,109ea9f8f55f,1 year ago,llama\llama3.2.csv,0.626953125,False
llama3.2:1b-text-q3_K_S,642MB,128K,Text,c74a13c9d01e,1 year ago,llama\llama3.2.csv,0.626953125,False
